2026-02-04 09:40:59.257 | INFO     | main:lifespan:42 - 🚀 Campus OS UNIGOM Backend starting...
2026-02-04 09:40:59.257 | INFO     | app.core.database:init_db:26 - 🔄 Using local PostgreSQL database
2026-02-04 09:40:59.309 | INFO     | app.core.database:init_db:42 - ✅ Local PostgreSQL connection initialized
2026-02-04 09:40:59.309 | INFO     | main:lifespan:46 - ✅ Database connected
2026-02-04 09:45:09.016 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:09.333 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:09.351 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:09.757 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.023 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.163 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.427 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.565 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.878 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:10.976 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:11.274 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:11.404 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:12.073 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:12.317 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:12.522 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
2026-02-04 09:45:12.816 | ERROR    | main:global_exception_handler:100 - Unhandled exception: 'DatabaseWrapper' object has no attribute 'select'
